USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
tanu              4410   0.0  0.3 436914912  28784   ??  S     3:14PM   0:02.37 /Applications/Docker.app/Contents/MacOS/com.docker.backend
tanu              3625   0.0  0.0 435313728    480 s000  S+    3:09PM   0:00.53 -zsh
root              3623   0.0  0.0 435308512   2064 s000  Ss    3:09PM   0:00.01 login -pf tanu
tanu              3622   0.0  0.1 435935344  11776   ??  S     3:09PM   1:34.28 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
tanu              3330   0.0  0.2 486138272  20528   ??  S     2:36PM   2:11.51 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,5212330506624000588,5610493724563136753,524288 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709025667629152
tanu              3289   0.0  0.1 486097344  11808   ??  S     2:36PM   0:57.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,4144575234132337447,1984800666348746912,524288 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190709010674959568 --seatbelt-client=359
tanu              3277   0.0  0.1 435398288   4448   ??  Ss    2:36PM   0:00.49 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
tanu              3260   0.0  0.1 486091856  12528   ??  S     2:36PM   0:01.97 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,17768347311896892643,14488217812253200977,524288 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=19
tanu              3259   0.0  0.8 486141984  67680   ??  S     2:36PM   1:20.61 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --shared-files --metrics-shmem-handle=1752395122,r,269095475360356225,6571249284250960893,524288 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=19
tanu              3258   0.0  0.7 486711120  56096   ??  S     2:36PM   4:11.93 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=6c37f80b-4401-4597-b87d-b4a1d2a4bcfb --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,38670391563718808,5851844755306734426,262144 --field-trial-handle=1718379636,r,9166186775159248889,7180699430497117603,262144 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,14514396235132631154,17925366974476671135,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=29
tanu              3254   0.0  0.0 485702176   2688   ??  S     2:36PM   0:00.03 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanu/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/tanu/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=152.0.7977.65 --handshake-fd=5
tanu              3252   0.0  2.5 537245200 211984   ??  S     2:36PM   3:00.28 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
tanu              2989   0.0  0.0 435340480   3232   ??  S     2:19PM   0:01.62 /usr/libexec/pkd
tanu              2906   0.0  0.1 435353952   5488   ??  S     2:08PM   0:02.46 /usr/libexec/knowledge-agent
tanu              2701   0.0  0.0 435398592   4176   ??  Ss    1:47PM   0:00.55 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
_networkd         2424   0.0  0.0 435305120   1680   ??  S     1:05PM   0:00.44 /usr/sbin/distnoted agent
tanu              2046   0.0  0.2 435900688  17312   ??  S    Thu09AM   0:04.28 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
tanu              1860   0.0  0.1 435552896   5088   ??  S    Thu09AM   0:01.79 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
tanu              1602   0.0  0.0 435344848   4144   ??  S    Thu02AM   0:00.68 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
root              1525   0.0  0.0 435342544   3952   ??  Ss   Thu02AM   0:01.21 /System/Library/CoreServices/SubmitDiagInfo server-init
root              1527   0.0  0.0 435304784   1952   ??  Ss   Thu02AM   0:00.04 /System/Library/CoreServices/CrashReporterSupportHelper server-init
tanu              1514   0.0  0.1 435353600   5136   ??  Ss   Thu02AM   0:00.10 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuTW9iaWxlU01TLk1lc3NhZ2VzQWN0aW9uRXh0ZW5zaW9uIn0=
tanu              1513   0.0  0.0 435353856   2896   ??  Ss   Thu02AM   0:00.09 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuU2FmYXJpLlNhZmFyaUxpbmtFeHRlbnNpb24ifQ==
tanu              1510   0.0  0.0 435353280   2896   ??  Ss   Thu02AM   0:00.08 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY2FsZW5kYXIuQ2FsZW5kYXJJbnRlbnRzRXh0ZW5zaW9uIn0=
_rmd              1459   0.0  0.0 435305360   1664   ??  S    Thu01AM   0:00.55 /usr/sbin/distnoted agent
root              1457   0.0  0.0 435342176   3072   ??  Ss   Thu01AM   0:02.10 /usr/libexec/wifivelocityd
tanu              1344   0.0  0.0 435342672   3504   ??  S    Thu12AM   0:00.93 /System/Library/CoreServices/diagnostics_agent
tanu              1430   0.0  0.2 436472784  20576   ??  S    Thu12AM   0:52.46 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
tanu              1429   0.0  0.1 435573344   7776   ??  Ss   Thu12AM   0:01.57 /Applications/Google Drive.app/Contents/Applications/FinderHelper.app/Contents/PlugIns/FinderSyncExtension.appex/Contents/MacOS/FinderSyncExtension -AppleLanguages ("en-IN")
tanu              1428   0.0  0.0 435562656   4000   ??  S    Thu12AM   0:00.65 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
tanu              1426   0.0  0.0 435382352   3600   ??  Ss   Thu12AM   0:00.19 /Applications/Google Drive.app/Contents/PlugIns/DFSFileProviderExtension.appex/Contents/MacOS/DFSFileProviderExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ29vZ2xlLmRyaXZlZnMuZnBleHQiLCJ0eXBlIjoxfQ==
_installcoordinationd  1415   0.0  0.0 435305776   1648   ??  S    Thu12AM   0:00.55 /usr/sbin/distnoted agent
tanu              1406   0.0  0.0 435342736   2880   ??  Ss   Thu12AM   0:00.07 /System/Applications/System Settings.app/Contents/PlugIns/csimporter.appex/Contents/MacOS/csimporter -AppleLanguages ("en-IN")
tanu              1400   0.0  0.0 435304864   2240   ??  S    Thu12AM   0:00.05 /usr/libexec/ptpcamerad
tanu              1399   0.0  0.0 435306032   2320   ??  Ss   Thu12AM   0:00.03 /System/Library/Frameworks/ImageCaptureCore.framework/Versions/A/XPCServices/mscamerad-xpc.xpc/Contents/MacOS/mscamerad-xpc
tanu              1398   0.0  0.1 435375120   4240   ??  Ss   Thu12AM   0:00.26 /Applications/Microsoft Excel.app/Contents/PlugIns/ExcelWidget_mac.appex/Contents/MacOS/ExcelWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LkV4Y2VsLndpZGdldGV4dGVuc2lvbiIsInR5cGUiOjF9
tanu              1396   0.0  0.0 507415120    208   ??  Ss   Thu12AM   0:06.34 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
tanu              1394   0.0  0.0 439699280   3072   ??  Ss   Thu12AM   0:00.52 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
tanu              1393   0.0  0.0 439774384   4096   ??  Ss   Thu12AM   0:02.21 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
tanu              1391   0.0  0.1 435376368   4240   ??  Ss   Thu12AM   0:00.26 /Applications/Microsoft Word.app/Contents/PlugIns/WordWidget_mac.appex/Contents/MacOS/WordWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LldvcmQud2lkZ2V0ZXh0ZW5zaW9uIiwidHlwZSI6MX0=
tanu              1386   0.0  0.0 435504656   1248   ??  Ss   Thu12AM   0:00.08 postgres: logical replication launcher   
tanu              1385   0.0  0.0 435504656   2176   ??  Ss   Thu12AM   0:00.18 postgres: autovacuum launcher   
tanu              1384   0.0  0.0 435503632    656   ??  Ss   Thu12AM   0:00.13 postgres: walwriter   
tanu              1382   0.0  0.0 435503632    768   ??  Ss   Thu12AM   0:00.15 postgres: background writer   
tanu              1381   0.0  0.0 435503632    576   ??  Ss   Thu12AM   0:00.03 postgres: checkpointer   
tanu              1380   0.0  0.0 435503632    304   ??  Ss   Thu12AM   0:00.00 postgres: io worker 2  
tanu              1379   0.0  0.0 435503632    304   ??  Ss   Thu12AM   0:00.00 postgres: io worker 1  
tanu              1378   0.0  0.0 435503632    320   ??  Ss   Thu12AM   0:00.00 postgres: io worker 0  
tanu              1376   0.0  0.3 440790656  23568   ??  S    Thu12AM   0:37.82 /Applications/Google Drive.app/Contents/MacOS/Google Drive --single_process --parent_version=130.0.2.0 --crash_handler_token=inherited
tanu              1374   0.0  0.0 435310512   2080   ??  S    Thu12AM   0:00.05 /Applications/Google Drive.app/Contents/MacOS/crashpad_handler --database=/Users/tanu/Library/Application Support/Google/DriveFS/Crashpad --url=https://clients2.google.com/cr/report --annotation=always_send_feedback_unauthenticated=on --annotation=anonymous_feedback_submit_api_key=AIzaSyCejQEszExWuVHsgk8YElDTlbbrhzeRISc --annotation=anonymous_feedback_submit_url=https://feedback-pa.googleapis.com/v1/feedback/products/1633926/web:anonymous_submit --annotation=ask_to_copy_files_for_pending_uploads=on --annotation=automatic_error_reporting_trigger_assert_ids= --annotation=bandwidth_throttling=on --annotation=browser_auth_wait_for_client_timeout_ms=300000 --annotation=browser_auth_with_signup_wait_for_client_timeout_ms=1200000 --annotation=casita_add_more_folders_to_sync_url=https://support.google.com/drive/?p=errorlist --annotation=casita_faq_url=https://support.google.com/drive?p=d4d_redesign_beta --annotation=casita_force_enable=off --annotation=casita_hide_disconnect_for_loading_account=on --annotation=casita_milestone=2 --annotation=casita_rename_sign_out_button_to_disconnect_account=on --annotation=casita_search=off --annotation=casita_startup_prompt_for_opt_in=0 --annotation=collect_ms_office_meet_integration_metrics=off --annotation=com_api_thread_stuck_threshold_sec=0 --annotation=compress_regular_log_files=off --annotation=confirm_quit_during_system_logout=off --annotation=context_menu_create_editor_files=on --annotation=context_menu_force_refresh_folder=on --annotation=context_menu_show_create_new_shared_drive_dialog=on --annotation=crash_oom_threshold_mb=1048576 --annotation=crash_throttle_percentage=0 --annotation=create_encrypted_editor_file=on --annotation=cse_guest_access_enabled=on --annotation=curl_allows_user_provided_content_length=off --annotation=current_drive_fs_version=130.0.2.0 --annotation=current_os_version=macOS/Version 26.5.1 (Build 25F80) (arm64) --annotation=decore_authoritative_global_fetcher=on --annotation=decore_automatic_rollback=on --annotation=dedupe_interval_ms=2000 --annotation=deprecation_date=2027-08-17 --annotation=deprecation_warning_threshold=30 --annotation=directory_log_max_byte_size=524288000 --annotation=disable_core_experiment_fetching=off --annotation=disable_non_static_file_provider_event_metrics=off --annotation=disable_unified_buffer_cache=off --annotation=drive_dot=on --annotation=enable_ai_process_detection=off --annotation=enable_automatic_error_reporting=on --annotation=enable_casita_shared_drives_ui=off --annotation=enable_casita_sign_out_flow=off --annotation=enable_external_file_provider_volume=off --annotation=enable_internal_cello_metrics=on --annotation=enable_mac_os_context_menu=on --annotation=enable_metrics=on --annotation=enable_ransomware_dialog=on --annotation=enable_search_hot_key=on --annotation=enable_windows_tray_icon_context_menu=on --annotation=encrypt_and_upload=off --annotation=encrypt_and_upload_folder=on --annotation=exception_enabled_apps=.* --annotation=file_provider_add_items_to_ws_on_listing=on --annotation=file_provider_create_existing_file_id_succeeds=off --annotation=file_provider_cse_target_id_scheme=off --annotation=file_provider_detect_remaining_domain_with_api_timeout_ms=10000 --annotation=file_provider_disable_movein_user_interaction=off --annotation=file_provider_disable_moveout_user_interaction=off --annotation=file_provider_disabled_notification_interval_mins=1440 --annotation=file_provider_enable_deny_copy_activation_rule=on --annotation=file_provider_enable_deny_shared_drive_root_manipulation=on --annotation=file_provider_enable_read_ahead=on --annotation=file_provider_max_retry_backoff_per_api_call_ms=30000 --annotation=file_provider_min_partial_read_size=4194304 --annotation=file_provider_mirror_switch_unpinned_item_batch_size=2000 --annotation=file_provider_notify_mount_point_changed=on --annotation=file_provider_posix_symlink_path_max_size=1024 --annotation=file_provider_quick_access_polling_interval_sec=43200 --annotation=file_provider_quit_grace_period_ms=0 --annotation=file_provider_remove_domain_flush_timeout_ms=300000 --annotation=file_provider_support_string_search=on --annotation=file_revisions_virtual_folder=off --annotation=fileprovider_signal_debounce_ms=250 --annotation=force_file_provider_materialization=on --annotation=force_refresh_folder_normal_menu=off --annotation=gemini_extra_included_mimetypes= --annotation=gui_autostart_option=on --annotation=hide_inaccessible_inheritance_break_folders=on --annotation=inform_users_of_pending_uploads=on --annotation=local_file_reading_buffer_size=8388608 --annotation=log_app_stability=off --annotation=logging_on_cello_thread_startup=off --annotation=mac_smb_dialect_mode=0 --annotation=mac_smb_nodatacache=on --annotation=mac_smb_port=-1 --annotation=manage_file_revisions_in_web=on --annotation=max_connection_idle_time_msec=600000 --annotation=max_core_restarts_after_db_corruption=10 --annotation=max_feedback_payload_size=209715200 --annotation=max_file_provider_ipc_connections=100 --annotation=max_item_events_buffer_size_casita=50 --annotation=max_metrics_per_event_code_per_batch=200 --annotation=max_status_source_locations_count_per_metric_event=3 --annotation=max_syncing_status_change_events_casita=50 --annotation=max_thumbnail_dimension=768 --annotation=meet_live_stream_info_uri= --annotation=meet_outlook_addin=off --annotation=meet_uri=https://meetings.clients6.google.com/v1/spaces --annotation=metrics_store_reset_counter=0 --annotation=min_duration_hours_between_any_surveys=24 --annotation=min_duration_hours_between_automatic_error_reports=720 --annotation=min_duration_hours_between_same_surveys=720 --annotation=min_duration_seconds_wait_after_close_for_survey=30 --annotation=min_duration_seconds_wait_after_cores_startup_for_survey=30 --annotation=min_supported_os_version=13.0.0 --annotation=mojave_overlays_fix=off --annotation=multi_account_max_accounts=4 --annotation=nondownloadable_files_as_gdrive_files=on --annotation=nondownloadable_files_as_gdrive_files_migration=on --annotation=num_metrics_batches_per_request=70 --annotation=outlook_addin=off --annotation=pause_syncing_option=on --annotation=phenotype_sync_timeout_ms=500 --annotation=photos_check_apl_icloud_import=on --annotation=photos_deprecation_date=2026-08-10 --annotation=photos_deprecation_soft_date=2026-06-15 --annotation=photos_feature_unsupported=on --annotation=photos_feature_unsupported_soon=off --annotation=prod=DriveFS --annotation=read_only_mode=off --annotation=read_only_ransomware=on --annotation=reconnected_nas_polling_interval_seconds=60 --annotation=reset_content_cache_location=off --annotation=restart_on_browser_request=on --annotation=same_content_dedupe_interval_ms=600000 --annotation=seconds_per_metrics_batch=20 --annotation=share_dialog=on --annotation=show_live_stream_frame_in_outlook_onboarding=off --annotation=slurp_poll_path_frequency_min=240 --annotation=smb_allowed=on --annotation=soon_to_be_min_supported_os_version=13.0.0 --annotation=soon_to_be_unsupported_os_learn_more=https://support.google.com/drive/answer/2375082 --annotation=spotlight_timestamp_fsctl_support=on --annotation=structured_log_max_file_count=30 --annotation=structured_log_max_file_size_kbytes=5120 --annotation=structured_log_zip_logs=on --annotation=structured_logging=on --annotation=survey_api_key=AIzaSyAWGrfCCr7albM3lmCc937gx4uIphbpeKQ --annotation=survey_configurations= --annotation=survey_listnr_product_id=1633926 --annotation=survey_url=https://www.gstatic.com/drive-fs/survey.html --annotation=switchblade_dss=off --annotation=switchblade_on_websockets=on --annotation=thread_stuck_report_sampling_percentage=10 --annotation=thread_stuck_threshold_sec=60 --annotation=throttling_algorithm=1 --annotation=unlocked_mac_getxattr_v2=off --annotation=upload_folder=off --annotation=use_correct_size_option_for_put=on --annotation=use_cros_http_client=off --annotation=use_mac_fileprovider=on --annotation=use_moonshine=on --annotation=use_win32_fibers=off --annotation=ver=130.0.2.0 --annotation=webview2_requirement_notification=0 --annotation=webview2_requirement_url=https://support.google.com/drive?p=d4d_webview2_rollout --annotation=win_dpi_aware_per_monitor=off --attachment=/Users/tanu/Library/Application Support/Google/DriveFS/Crashpad/account_features --handshake-fd=5
tanu              1371   0.0  0.0 435403664   3296   ??  Ss   Thu12AM   0:00.20 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucmVtaW5kZXJzLldpZGdldEV4dGVuc2lvbiIsInR5cGUiOjF9
tanu              1367   0.0  0.1 435375456   4224   ??  Ss   Thu12AM   0:00.31 /Applications/Microsoft PowerPoint.app/Contents/PlugIns/PowerPointWidget_mac.appex/Contents/MacOS/PowerPointWidget_mac -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20ubWljcm9zb2Z0LlBvd2VycG9pbnQud2lkZ2V0ZXh0ZW5zaW9uIiwidHlwZSI6MX0=
tanu              1366   0.0  0.1 435579152   8496   ??  Ss   Thu12AM   6:51.51 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
tanu              1355   0.0  0.0 435417712   3712   ??  S    Thu12AM   0:00.32 /Applications/Google Drive.app/Contents/MacOS/Google Drive
tanu              1352   0.0  0.2 435761920  15392   ??  S    Thu12AM   6:24.23 /Applications/Wallspace.app/Contents/MacOS/Wallspace
tanu              1337   0.0  0.0 435340832   2784   ??  S    Thu12AM   0:00.43 /System/Library/Image Capture/Support/icdd
tanu              1343   0.0  0.0 435507568   2048   ??  S    Thu12AM   0:00.24 /opt/homebrew/opt/postgresql@18/bin/postgres -D /opt/homebrew/var/postgresql@18
tanu              1345   0.0  0.1 435571648   4896   ??  S    Thu12AM   0:01.62 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
tanu              1341   0.0  0.0 435366912   3680   ??  S    Thu12AM   0:00.29 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
tanu              1330   0.0  0.1 435557904   5776   ??  Ss   Thu12AM   0:00.83 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2VhdGhlci53aWRnZXQiLCJ0eXBlIjoxfQ==
tanu              1324   0.0  0.0 435401456   3280   ??  Ss   Thu12AM   0:00.34 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuUGVvcGxlVmlld1NlcnZpY2UuUGVvcGxlV2lkZ2V0LW1hY09TIiwidHlwZSI6MX0=
tanu              1322   0.0  0.0 435340912   2752   ??  Ss   Thu12AM   0:00.06 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-IN")
tanu              1320   0.0  0.0 435399296   3264   ??  Ss   Thu12AM   0:00.11 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUudGlwcy5XaWRnZXQiLCJ0eXBlIjoxfQ==
tanu              1319   0.0  0.0 435374272   3296   ??  Ss   Thu12AM   0:00.60 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.IntentsExtension.appex/Contents/MacOS/com.apple.Notes.IntentsExtension -AppleLanguages ("en-IN")
tanu              1318   0.0  0.0 435595600   3328   ??  Ss   Thu12AM   0:00.87 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuaUNhbC5DYWxlbmRhcldpZGdldEV4dGVuc2lvbiIsInR5cGUiOjF9
tanu              1316   0.0  0.1 435377760   5632   ??  Ss   Thu12AM   0:00.36 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY2xvY2suV29ybGRDbG9ja1dpZGdldCIsInR5cGUiOjF9
tanu              1315   0.0  0.1 435584192   5536   ??  Ss   Thu12AM   0:00.10 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQmF0dGVyaWVzLkJhdHRlcmllc0F2b2NhZG9XaWRnZXRFeHRlbnNpb24iLCJ0eXBlIjoxfQ==
tanu              1313   0.0  0.0 435548016   3264   ??  Ss   Thu12AM   0:00.22 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuTm90ZXMuV2lkZ2V0RXh0ZW5zaW9uIiwidHlwZSI6MX0=
